BarNoteClick,Message,Channel,Pitch,Velocity
27:0:90,On,ch=1,n=84,v=0
27:0:104,On,ch=1,n=80,v=71
27:0:104,On,ch=1,n=83,v=68
27:0:104,On,ch=1,n=88,v=72
27:0:124,On,ch=1,n=88,v=0
27:0:124,On,ch=1,n=80,v=0
27:0:124,On,ch=1,n=83,v=0
27:0:139,On,ch=1,n=84,v=70
27:0:141,On,ch=1,n=89,v=68
27:0:159,On,ch=1,n=89,v=0
27:0:159,On,ch=1,n=84,v=0
27:0:175,On,ch=1,n=82,v=60
27:0:175,On,ch=1,n=85,v=64
27:0:175,On,ch=1,n=90,v=61
27:1:3,On,ch=1,n=90,v=0
27:1:3,On,ch=1,n=82,v=0
27:1:3,On,ch=1,n=85,v=0
27:1:9,Par,ch=1,c=64,v=0
27:1:17,On,ch=1,n=84,v=59
27:1:19,On,ch=1,n=89,v=63
27:1:39,On,ch=1,n=89,v=0
27:1:39,On,ch=1,n=84,v=0
27:1:55,On,ch=1,n=82,v=61
27:1:55,On,ch=1,n=85,v=59
27:1:55,On,ch=1,n=90,v=64
27:1:72,On,ch=1,n=90,v=0
27:1:72,On,ch=1,n=82,v=0
27:1:72,On,ch=1,n=85,v=0
27:1:88,On,ch=1,n=84,v=60
27:1:90,On,ch=1,n=89,v=54
27:1:108,On,ch=1,n=89,v=0
27:1:108,On,ch=1,n=84,v=0
27:1:124,On,ch=1,n=82,v=59
27:1:124,On,ch=1,n=85,v=55
27:1:124,On,ch=1,n=90,v=59
27:1:143,On,ch=1,n=90,v=0
27:1:143,On,ch=1,n=82,v=0
27:1:143,On,ch=1,n=85,v=0
27:1:148,On,ch=1,n=84,v=43
27:1:150,On,ch=1,n=89,v=45
27:1:167,On,ch=1,n=82,v=44
27:1:167,On,ch=1,n=90,v=45
27:1:168,On,ch=1,n=89,v=0
27:1:168,On,ch=1,n=84,v=0
27:1:174,On,ch=1,n=85,v=43
27:2:0,On,ch=1,n=82,v=0
27:2:2,On,ch=1,n=90,v=0
27:2:2,On,ch=1,n=85,v=0
27:2:14,On,ch=1,n=84,v=42
27:2:14,On,ch=1,n=89,v=42
