BarNoteClick,Message,Channel,Pitch,Velocity
79:2:0,On,ch=6,n=47,v=90
79:3:0,On,ch=6,n=47,v=0
79:3:0,On,ch=6,n=46,v=90
80:0:0,On,ch=6,n=46,v=0
80:0:0,On,ch=6,n=53,v=90
80:3:0,On,ch=6,n=53,v=0
80:3:0,On,ch=6,n=50,v=90
80:5:0,On,ch=6,n=50,v=0
80:5:0,On,ch=6,n=47,v=90
81:0:0,On,ch=6,n=47,v=0
81:0:0,On,ch=6,n=41,v=90
81:0:0,Par,ch=6,c=7,v=105
81:3:0,On,ch=6,n=41,v=0
81:3:0,On,ch=6,n=34,v=90
82:0:0,On,ch=6,n=34,v=0
82:0:0,On,ch=6,n=41,v=90
82:3:0,On,ch=6,n=41,v=0
82:3:0,On,ch=6,n=34,v=90
83:0:0,On,ch=6,n=34,v=0
83:0:0,On,ch=6,n=41,v=110
83:0:0,Par,ch=6,c=7,v=119
83:2:0,Par,ch=6,c=7,v=119
83:2:6,Par,ch=6,c=7,v=118
83:2:10,Par,ch=6,c=7,v=117
83:2:13,Par,ch=6,c=7,v=116
83:2:20,Par,ch=6,c=7,v=115
83:2:23,Par,ch=6,c=7,v=114
83:2:26,Par,ch=6,c=7,v=113
83:2:33,Par,ch=6,c=7,v=112
83:2:36,Par,ch=6,c=7,v=111
83:2:40,Par,ch=6,c=7,v=110
83:2:46,Par,ch=6,c=7,v=109
83:2:50,Par,ch=6,c=7,v=108
83:2:53,Par,ch=6,c=7,v=107
83:3:0,Par,ch=6,c=7,v=106
83:3:3,Par,ch=6,c=7,v=105
83:3:6,Par,ch=6,c=7,v=104
83:3:10,Par,ch=6,c=7,v=103
83:3:16,Par,ch=6,c=7,v=102
83:3:20,Par,ch=6,c=7,v=101
83:3:23,Par,ch=6,c=7,v=100
83:3:30,Par,ch=6,c=7,v=99
83:3:33,Par,ch=6,c=7,v=98
83:3:36,Par,ch=6,c=7,v=97
83:3:43,Par,ch=6,c=7,v=96
83:3:46,Par,ch=6,c=7,v=95
83:3:50,Par,ch=6,c=7,v=94
83:3:56,Par,ch=6,c=7,v=93
83:4:0,Par,ch=6,c=7,v=92
83:4:3,Par,ch=6,c=7,v=91
83:4:6,Par,ch=6,c=7,v=90
83:4:13,Par,ch=6,c=7,v=89
83:4:16,Par,ch=6,c=7,v=88
83:4:20,Par,ch=6,c=7,v=87
83:4:26,Par,ch=6,c=7,v=86
83:4:30,Par,ch=6,c=7,v=85
83:4:33,Par,ch=6,c=7,v=84
83:4:40,Par,ch=6,c=7,v=83
83:4:43,Par,ch=6,c=7,v=82
83:4:46,Par,ch=6,c=7,v=81
83:4:53,Par,ch=6,c=7,v=80
83:4:56,Par,ch=6,c=7,v=79
83:5:0,Par,ch=6,c=7,v=78
83:5:3,Par,ch=6,c=7,v=77
83:5:6,Par,ch=6,c=7,v=77
83:5:10,Par,ch=6,c=7,v=75
83:5:16,Par,ch=6,c=7,v=73
83:5:20,Par,ch=6,c=7,v=70
83:5:23,Par,ch=6,c=7,v=68
83:5:30,Par,ch=6,c=7,v=67
83:5:33,Par,ch=6,c=7,v=63
83:5:43,Par,ch=6,c=7,v=62
83:5:46,Par,ch=6,c=7,v=61
83:5:53,Par,ch=6,c=7,v=60
84:0:0,On,ch=6,n=41,v=0
84:0:0,On,ch=6,n=40,v=90
84:0:0,Par,ch=6,c=7,v=59
84:0:3,Par,ch=6,c=7,v=58
84:0:20,Par,ch=6,c=7,v=57
84:0:26,Par,ch=6,c=7,v=55
84:0:36,Par,ch=6,c=7,v=54
84:0:40,Par,ch=6,c=7,v=53
84:0:43,Par,ch=6,c=7,v=52
84:0:46,Par,ch=6,c=7,v=51
84:4:0,On,ch=6,n=40,v=0
86:0:0,On,ch=6,n=56,v=90
86:0:0,Par,ch=6,c=7,v=54
86:0:26,Par,ch=6,c=7,v=53
86:0:53,Par,ch=6,c=7,v=52
86:1:20,Par,ch=6,c=7,v=51
86:1:43,Par,ch=6,c=7,v=50
86:2:10,Par,ch=6,c=7,v=49
86:2:36,Par,ch=6,c=7,v=48
86:3:0,Par,ch=6,c=7,v=47
86:3:26,Par,ch=6,c=7,v=46
86:3:53,Par,ch=6,c=7,v=45
86:4:20,Par,ch=6,c=7,v=44
86:4:43,Par,ch=6,c=7,v=43
86:5:10,Par,ch=6,c=7,v=42
86:5:36,Par,ch=6,c=7,v=41
87:0:0,On,ch=6,n=56,v=0
87:0:0,On,ch=6,n=55,v=90
87:0:0,Par,ch=6,c=7,v=40
87:4:0,On,ch=6,n=55,v=0
