BarNoteClick,Message,Channel,Pitch,Velocity
24:0:15,Par,ch=3,c=7,v=83
24:0:25,Par,ch=3,c=7,v=84
24:0:37,Par,ch=3,c=7,v=85
24:0:47,Par,ch=3,c=7,v=86
24:0:57,Par,ch=3,c=7,v=87
24:1:7,Par,ch=3,c=7,v=88
24:1:17,Par,ch=3,c=7,v=89
24:1:28,Par,ch=3,c=7,v=90
24:1:38,Par,ch=3,c=7,v=91
24:1:48,Par,ch=3,c=7,v=92
24:1:58,Par,ch=3,c=7,v=93
24:2:0,On,ch=3,n=44,v=0
24:2:0,On,ch=3,n=40,v=90
24:2:8,Par,ch=3,c=7,v=94
24:2:20,Par,ch=3,c=7,v=95
24:2:30,Par,ch=3,c=7,v=96
24:2:40,Par,ch=3,c=7,v=97
24:2:50,Par,ch=3,c=7,v=98
24:3:0,On,ch=3,n=40,v=0
24:3:0,On,ch=3,n=45,v=90
24:3:0,Par,ch=3,c=7,v=99
25:0:1,Par,ch=3,c=7,v=99
25:0:12,Par,ch=3,c=7,v=98
25:0:22,Par,ch=3,c=7,v=97
25:0:32,Par,ch=3,c=7,v=96
25:0:42,Par,ch=3,c=7,v=95
25:0:52,Par,ch=3,c=7,v=94
25:1:4,Par,ch=3,c=7,v=93
25:1:14,Par,ch=3,c=7,v=92
25:1:24,Par,ch=3,c=7,v=91
25:1:34,Par,ch=3,c=7,v=90
25:1:44,Par,ch=3,c=7,v=89
25:1:54,Par,ch=3,c=7,v=88
25:2:5,Par,ch=3,c=7,v=87
25:2:15,Par,ch=3,c=7,v=86
25:2:25,Par,ch=3,c=7,v=85
25:2:35,Par,ch=3,c=7,v=84
25:2:45,Par,ch=3,c=7,v=83
25:2:55,Par,ch=3,c=7,v=82
25:3:7,Par,ch=3,c=7,v=81
25:3:17,Par,ch=3,c=7,v=80
25:3:27,Par,ch=3,c=7,v=79
25:3:37,Par,ch=3,c=7,v=78
25:3:47,Par,ch=3,c=7,v=77
25:3:57,Par,ch=3,c=7,v=76
25:4:8,Par,ch=3,c=7,v=75
