BarNoteClick,Message,Channel,Pitch,Velocity
36:3:15,Par,ch=4,c=7,v=47
36:3:20,Par,ch=4,c=7,v=46
36:3:25,Par,ch=4,c=7,v=45
36:3:30,Par,ch=4,c=7,v=44
36:3:35,Par,ch=4,c=7,v=43
36:3:40,Par,ch=4,c=7,v=42
36:3:45,Par,ch=4,c=7,v=41
36:3:50,Par,ch=4,c=7,v=39
37:3:0,On,ch=4,n=61,v=90
37:3:0,Par,ch=4,c=7,v=59
37:3:5,Par,ch=4,c=7,v=64
38:0:0,On,ch=4,n=61,v=0
38:0:0,On,ch=4,n=60,v=90
38:3:0,On,ch=4,n=60,v=0
39:3:0,On,ch=4,n=63,v=90
39:3:0,Par,ch=4,c=7,v=64
39:3:15,Par,ch=4,c=7,v=65
39:3:25,Par,ch=4,c=7,v=66
39:3:40,Par,ch=4,c=7,v=67
39:3:50,Par,ch=4,c=7,v=68
39:4:0,Par,ch=4,c=7,v=69
39:4:15,Par,ch=4,c=7,v=70
39:4:25,Par,ch=4,c=7,v=71
39:4:40,Par,ch=4,c=7,v=72
39:4:50,Par,ch=4,c=7,v=73
39:5:0,Par,ch=4,c=7,v=74
39:5:15,Par,ch=4,c=7,v=75
39:5:25,Par,ch=4,c=7,v=76
39:5:40,Par,ch=4,c=7,v=77
39:5:50,Par,ch=4,c=7,v=78
40:0:0,On,ch=4,n=63,v=0
40:0:0,On,ch=4,n=62,v=90
40:0:0,Par,ch=4,c=7,v=79
40:0:15,Par,ch=4,c=7,v=78
40:0:25,Par,ch=4,c=7,v=77
40:0:40,Par,ch=4,c=7,v=76
40:0:50,Par,ch=4,c=7,v=75
40:1:0,Par,ch=4,c=7,v=74
40:1:15,Par,ch=4,c=7,v=73
40:1:25,Par,ch=4,c=7,v=72
40:1:40,Par,ch=4,c=7,v=71
40:1:50,Par,ch=4,c=7,v=70
40:2:0,Par,ch=4,c=7,v=69
40:2:15,Par,ch=4,c=7,v=68
40:2:25,Par,ch=4,c=7,v=67
40:2:40,Par,ch=4,c=7,v=66
40:2:50,Par,ch=4,c=7,v=65
40:3:0,On,ch=4,n=62,v=0
40:3:0,Par,ch=4,c=7,v=64
41:3:0,On,ch=4,n=69,v=90
41:3:0,Par,ch=4,c=7,v=64
41:3:15,Par,ch=4,c=7,v=65
41:3:25,Par,ch=4,c=7,v=66
41:3:35,Par,ch=4,c=7,v=67
