BarNoteClick,Message,Channel,Pitch,Velocity
84:3:53,Par,ch=5,c=7,v=66
84:3:56,Par,ch=5,c=7,v=65
84:4:0,On,ch=5,n=52,v=0
84:4:0,On,ch=5,n=56,v=0
84:4:0,Par,ch=5,c=7,v=64
93:0:0,On,ch=5,n=47,v=90
93:0:0,On,ch=5,n=59,v=90
93:0:0,Par,ch=5,c=7,v=64
93:0:10,Par,ch=5,c=7,v=65
93:0:16,Par,ch=5,c=7,v=66
93:0:26,Par,ch=5,c=7,v=67
93:0:33,Par,ch=5,c=7,v=68
93:0:40,Par,ch=5,c=7,v=69
93:0:50,Par,ch=5,c=7,v=70
93:0:56,Par,ch=5,c=7,v=71
93:1:3,Par,ch=5,c=7,v=72
93:1:13,Par,ch=5,c=7,v=73
93:1:20,Par,ch=5,c=7,v=74
93:1:26,Par,ch=5,c=7,v=75
93:1:36,Par,ch=5,c=7,v=76
93:1:43,Par,ch=5,c=7,v=77
93:1:50,Par,ch=5,c=7,v=78
93:2:0,Par,ch=5,c=7,v=79
93:2:6,Par,ch=5,c=7,v=80
93:2:13,Par,ch=5,c=7,v=81
93:2:23,Par,ch=5,c=7,v=82
93:2:30,Par,ch=5,c=7,v=83
93:2:36,Par,ch=5,c=7,v=84
93:2:46,Par,ch=5,c=7,v=85
93:2:53,Par,ch=5,c=7,v=86
93:3:0,On,ch=5,n=59,v=0
93:3:0,On,ch=5,n=47,v=0
93:3:0,On,ch=5,n=64,v=90
93:3:0,On,ch=5,n=52,v=90
93:3:0,Par,ch=5,c=7,v=87
94:0:0,On,ch=5,n=52,v=0
94:0:0,On,ch=5,n=64,v=0
94:0:0,On,ch=5,n=53,v=90
94:0:0,On,ch=5,n=57,v=90
94:0:0,Par,ch=5,c=7,v=110
95:0:0,On,ch=5,n=57,v=0
95:0:0,Par,ch=5,c=7,v=64
95:4:0,On,ch=5,n=53,v=0
