BarNoteClick,Message,Channel,Pitch,Velocity
0:0:0,PrCh,ch=6,p=70
0:0:0,Par,ch=6,c=7,v=127
0:0:0,Par,ch=6,c=10,v=70
0:0:0,Par,ch=6,c=11,v=101
0:0:0,Par,ch=6,c=91,v=127
2:0:0,On,ch=6,n=59,v=90
2:0:0,On,ch=6,n=53,v=90
2:0:0,Par,ch=6,c=7,v=64
2:0:19,Par,ch=6,c=7,v=63
2:0:37,Par,ch=6,c=7,v=62
2:0:55,Par,ch=6,c=7,v=61
2:1:13,Par,ch=6,c=7,v=60
2:1:31,Par,ch=6,c=7,v=59
2:1:49,Par,ch=6,c=7,v=58
2:2:7,Par,ch=6,c=7,v=57
2:2:25,Par,ch=6,c=7,v=56
2:2:43,Par,ch=6,c=7,v=55
2:3:1,Par,ch=6,c=7,v=54
2:3:20,Par,ch=6,c=7,v=53
2:3:38,Par,ch=6,c=7,v=52
2:3:56,Par,ch=6,c=7,v=51
2:4:14,Par,ch=6,c=7,v=50
2:4:32,Par,ch=6,c=7,v=49
2:4:50,Par,ch=6,c=7,v=48
2:5:8,Par,ch=6,c=7,v=47
2:5:26,Par,ch=6,c=7,v=46
2:5:44,Par,ch=6,c=7,v=45
3:0:0,On,ch=6,n=53,v=0
3:0:0,On,ch=6,n=59,v=0
3:0:0,On,ch=6,n=56,v=90
3:0:0,On,ch=6,n=52,v=90
3:0:2,Par,ch=6,c=7,v=44
3:4:0,On,ch=6,n=52,v=0
3:4:0,On,ch=6,n=56,v=0
6:0:0,On,ch=6,n=62,v=90
6:0:0,On,ch=6,n=56,v=90
6:0:0,Par,ch=6,c=7,v=64
6:0:19,Par,ch=6,c=7,v=63
6:0:37,Par,ch=6,c=7,v=62
6:0:55,Par,ch=6,c=7,v=61
6:1:13,Par,ch=6,c=7,v=60
6:1:31,Par,ch=6,c=7,v=59
6:1:49,Par,ch=6,c=7,v=58
6:2:7,Par,ch=6,c=7,v=57
6:2:25,Par,ch=6,c=7,v=56
6:2:43,Par,ch=6,c=7,v=55
6:3:1,Par,ch=6,c=7,v=54
6:3:19,Par,ch=6,c=7,v=53
6:3:37,Par,ch=6,c=7,v=52
6:3:55,Par,ch=6,c=7,v=51
6:4:13,Par,ch=6,c=7,v=50
6:4:31,Par,ch=6,c=7,v=49
